date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2023-12-05,41991.1,41991.1,44488.0,44488.0,41414.0,41414.0,44073.32,44073.32,67490.74644,67490.74644
2023-12-04,39972.26,39972.26,42420.0,42420.0,39972.26,39972.26,41991.1,41991.1,79272.33059,79272.33059
2023-12-03,39450.35,39450.35,40250.0,40250.0,39274.86,39274.86,39972.26,39972.26,26710.65335,26710.65335
2023-12-02,38682.51,38682.51,39717.14,39717.14,38641.61,38641.61,39450.35,39450.35,26696.92161,26696.92161
2023-12-01,37723.97,37723.97,38999.0,38999.0,37615.86,37615.86,38682.52,38682.52,43415.66324,43415.66324
2023-11-30,37854.65,37854.65,38145.85,38145.85,37500.0,37500.0,37723.96,37723.96,24740.29147,24740.29147
2023-11-29,37818.88,37818.88,38450.0,38450.0,37570.0,37570.0,37854.64,37854.64,32994.19107,32994.19107
2023-11-28,37242.7,37242.7,38377.0,38377.0,36868.41,36868.41,37818.87,37818.87,37544.46667,37544.46667
2023-11-27,37447.42,37447.42,37569.23,37569.23,36707.0,36707.0,37242.7,37242.7,30001.07376,30001.07376
2023-11-26,37780.67,37780.67,37814.63,37814.63,37150.0,37150.0,37447.43,37447.43,21264.53723,21264.53723
2023-11-25,37713.57,37713.57,37888.0,37888.0,37591.1,37591.1,37780.67,37780.67,11396.14464,11396.14464
2023-11-24,37294.27,37294.27,38414.0,38414.0,37251.51,37251.51,37713.57,37713.57,44680.80646,44680.80646
2023-11-23,37408.35,37408.35,37653.44,37653.44,36870.0,36870.0,37294.28,37294.28,23827.92882,23827.92882
2023-11-22,35741.65,35741.65,37861.1,37861.1,35632.01,35632.01,37408.34,37408.34,45051.30697,45051.30697
2023-11-21,37448.79,37448.79,37649.44,37649.44,35735.0,35735.0,35741.65,35741.65,47646.54804,47646.54804
2023-11-20,37359.85,37359.85,37750.0,37750.0,36677.0,36677.0,37448.78,37448.78,36022.70291,36022.70291
2023-11-19,36568.11,36568.11,37500.0,37500.0,36384.02,36384.02,37359.86,37359.86,21246.34648,21246.34648
2023-11-18,36613.91,36613.91,36845.49,36845.49,36178.58,36178.58,36568.1,36568.1,17102.24186,17102.24186
2023-11-17,36163.51,36163.51,36800.0,36800.0,35861.1,35861.1,36613.92,36613.92,38283.61112,38283.61112
2023-11-16,37858.2,37858.2,37929.54,37929.54,35500.0,35500.0,36163.51,36163.51,47490.39566,47490.39566
2023-11-15,35551.2,35551.2,37980.0,37980.0,35360.0,35360.0,37858.2,37858.2,53569.13385,53569.13385
2023-11-14,36462.93,36462.93,36744.0,36744.0,34800.0,34800.0,35551.19,35551.19,45503.68416,45503.68416
2023-11-13,37064.13,37064.13,37417.99,37417.99,36333.0,36333.0,36462.93,36462.93,32798.18252,32798.18252
2023-11-12,37129.99,37129.99,37222.22,37222.22,36731.1,36731.1,37064.13,37064.13,17687.18874,17687.18874
2023-11-11,37301.63,37301.63,37408.26,37408.26,36666.93,36666.93,37130.0,37130.0,22984.97235,22984.97235
2023-11-10,36701.1,36701.1,37526.0,37526.0,36324.71,36324.71,37301.63,37301.63,43414.04898,43414.04898
2023-11-09,35624.72,35624.72,37972.24,37972.24,35534.05,35534.05,36701.09,36701.09,82537.88885,82537.88885
2023-11-08,35399.13,35399.13,36106.0,36106.0,35100.0,35100.0,35624.72,35624.72,33401.34137,33401.34137
2023-11-07,35046.09,35046.09,35888.0,35888.0,34523.06,34523.06,35399.12,35399.12,38688.73692,38688.73692
2023-11-06,35011.89,35011.89,35276.33,35276.33,34725.9,34725.9,35046.09,35046.09,22346.47086,22346.47086
2023-11-05,35062.06,35062.06,35380.0,35380.0,34448.0,34448.0,35011.88,35011.88,24528.73376,24528.73376
2023-11-04,34716.78,34716.78,35255.0,35255.0,34585.18,34585.18,35062.07,35062.07,18377.55545,18377.55545
2023-11-03,34941.58,34941.58,34946.5,34946.5,34120.0,34120.0,34716.78,34716.78,39071.20644,39071.20644
2023-11-02,35421.43,35421.43,35984.99,35984.99,34300.0,34300.0,34941.59,34941.59,48015.57732,48015.57732
2023-11-01,34639.78,34639.78,35582.0,35582.0,34097.39,34097.39,35421.43,35421.43,53473.28165,53473.28165
2023-10-31,34474.74,34474.74,34720.49,34720.49,34025.0,34025.0,34639.77,34639.77,32737.89822,32737.89822
2023-10-30,34525.88,34525.88,34856.0,34856.0,34062.84,34062.84,34474.73,34474.73,33657.95976,33657.95976
2023-10-29,34081.01,34081.01,34750.11,34750.11,33930.0,33930.0,34525.89,34525.89,20685.52176,20685.52176
2023-10-28,33892.01,33892.01,34493.33,34493.33,33860.0,33860.0,34081.0,34081.0,16880.13144,16880.13144
2023-10-27,34151.66,34151.66,34245.0,34245.0,33390.95,33390.95,33892.02,33892.02,32330.40106,32330.40106
2023-10-26,34496.05,34496.05,34824.13,34824.13,33751.0,33751.0,34151.66,34151.66,39744.66255,39744.66255
2023-10-25,33922.73,33922.73,35132.85,35132.85,33679.05,33679.05,34496.05,34496.05,54887.02529,54887.02529
2023-10-24,33069.99,33069.99,35280.0,35280.0,32832.34,32832.34,33922.73,33922.73,115265.02418,115265.02418
